Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"85 Умывальник ""Модерн 850""",,,,д5996,заводской брак,кривой,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002060 от 12.09.2025 10:27:41,,Существенный,1,,"5 013,84"
"60 Зеркало-шкаф ""Paola 60""",,,,д5910,бой в целой коробке,скол угла,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"3 598,32"
"75 Умывальник ""Оскар 750""",,,,д5956,заводской брак,посечка,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002060 от 12.09.2025 10:27:41,,Существенный,1,,"4 317,73"
"Умывальник ""Жемчужина"" 600*470*210 белый с отверстием без перелива",,,,д5950,заводской брак,недолив эмали,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"1 436,08"
"Умывальник ""Жемчужина"" 600*470*210 белый с отверстием без перелива",,,,д5951,заводской брак,засорки,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"1 436,08"
"Пьедестал ""Жемчужина"" белый",,,,д5952,заводской брак,засорки,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"1 108,30"
"Унитаз подвесной K505B с биде безободковый, сиденье тонкое ДП, крепления",,,,д5955,возврат по договору,"герметик,течь,порвана коробка",Китай - Хангпай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 441,38"
Ванна ГМ 1200*1700*650 с насосом OLB-807 R с переливом,,,,д5946,возврат по договору,"сломаны центральные ноги,царапина",Китай - Олуба,Клиент,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"28 952,12"
"Мойка кухонная нерж. 60*80*13,5 эконом 0,4мм правая (15)",,,,д5964,заводской брак,помят край,КромРус ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"816,75"
"Умывальник ""Жемчужина"" 600*470*210 белый с отверстием без перелива",,,,д5970,заводской брак,"засорки,порезана коробка",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002054 от 04.09.2025 8:35:45,,Существенный,1,,"1 436,08"
