Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,мп4740,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,77239863-0534,Существенный,1,9.1 | сиденье - бой,"998,86"
"35 Пенал-шкаф ""Шимо 35""",,,,мп4741,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,32457789-1792,Существенный,1,"2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","4 476,45"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6013,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Смув,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0144992697-0095,Существенный,1,6.1 | унитаз - бачок - бой,"6 597,32"
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6025,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,33802745-0109,Существенный,1,6.1 | унитаз - бачок - бой,"6 570,71"
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6027,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,59952390-0346,Существенный,1,,"6 570,71"
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6026,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,65903429-0129,Существенный,1,,"6 570,71"
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6024,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Тренд,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,29909676-0087,Существенный,1,,"5 606,11"
"65 Умывальник ""Элеганс 650""",,,,мп6028,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,45511359-0141,Существенный,1,7.1 | раковина - чаша - бой,"2 190,05"
"Мойка кухонная нерж. 60*80*13,5 эконом 0,4мм левая (15)",,,,мп6022,"Бой ОЗОН, Яндекс",7.7 | раковина - чаша - продавлена (нержавейка),Сантехпром ТОО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0100089477-0686,Существенный,1,7.7 | раковина - чаша - продавлена (нержавейка),"831,60"
"Унитаз подвесной K633 безободковый, сиденье тонкое ДП, крепления",,,,мп6019,"Бой ОЗОН, Яндекс",6.20 | унитаз - чаша - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0181733364-0021,Существенный,1,,"4 695,39"
55 Тумба Коралл -2 (ум.Уют 55),,,,мп6023,заводской брак,"2.3 | мебель - бой - угла,2.5 | мебель - бой - планки",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,11108928-0689,Существенный,1,"2.3 | мебель - бой - угла,2.5 | мебель - бой - планки","2 345,73"
500 Стол под мойку - Белый мрамор ( мойка 50*50),,,,мп6021,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,98116823-0228,Существенный,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1 470,08"
"Мойка кухонная нерж. 50*50*13,5 эконом 0,4мм (20)",,,,мп6020,"Бой ОЗОН, Яндекс",7.7 | раковина - чаша - продавлена (нержавейка),Сантехпром ТОО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,98116823-0228,Существенный,1,7.7 | раковина - чаша - продавлена (нержавейка),"570,35"
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,мп6041,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,56369047-0186,Существенный,1,9.1 | сиденье - бой,"998,86"
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6034,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Тренд,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,41221901-0093,Существенный,1,6.1 | унитаз - бачок - бой,"5 606,11"
"65 Умывальник ""Элеганс 650""",,,,мп6038,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0174121962-0050,Существенный,1,7.1 | раковина - чаша - бой,"2 103,07"
65 Тумба «Natura 65» (ум. Элеганс 65)(в разборе),,,,мп6039,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0174121962-0050,Существенный,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1 987,40"
"65 Зеркало-шкаф ""Шимо- 65""",,,,мп6033,"Бой ОЗОН, Яндекс",5.2 | зеркало - бой угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,17353097-0228,Существенный,1,5.2 | зеркало - бой угла,"3 525,56"
65 Тумба «Natura 65» (ум. Элеганс 65)(в разборе),,,,мп6035,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,47561274-0317,Существенный,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1 987,40"
"65 Умывальник ""Элеганс 650""",,,,мп6036,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,47561274-0317,Существенный,1,7.1 | раковина - чаша - бой,"2 103,07"
"600 Стол под мойку - Цемент светлый (мойки 60*50, 60*60)",,,,мп6045,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0136168296-0254,Существенный,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1 866,32"
"Мойка кухонная нерж. 60*60*13,5 эконом 0,4мм левая (20)",,,,мп6044,"Бой ОЗОН, Яндекс",7.7 | раковина - чаша - продавлена (нержавейка),Сантехпром ТОО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0136168296-0254,Существенный,1,7.7 | раковина - чаша - продавлена (нержавейка),"693,00"
"55 Умывальник ""Уют 550""",,,,мп6029,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,59354438-0212,Существенный,1,7.1 | раковина - чаша - бой,"1 759,53"
"Мойка кухонная нерж. 60*80*13,5 эконом 0,4мм правая (15)",,,,мп6043,"Бой ОЗОН, Яндекс",7.7 | раковина - чаша - продавлена (нержавейка),Сантехпром ТОО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,33920287-0048,Существенный,1,7.7 | раковина - чаша - продавлена (нержавейка),"841,50"
"60 Зеркало-шкаф ""Olsen 60""",,,,мп6040,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,32859536-0294,Существенный,1,"2.3 | мебель - бой - угла,2.5 | мебель - бой - планки","2 498,15"
"100 Тумба ""Modern 100 ""Т"" (ум. Модерн 105)",,,,мп6042,"Бой ОЗОН, Яндекс",2.5 | мебель - бой - планки,ГЭОС,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,60736218-0160,Существенный,1,"2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","8 750,00"
"Унитаз подвесной K704G золотой безободковый, сиденье тонкое ДП, крепления",,,,мп6037,"Бой ОЗОН, Яндекс",6.2 | унитаз - бачок - скол,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0120008651-0238,Существенный,1,6.2 | унитаз - бачок - скол,"12 709,97"
"40 Пенал-шкаф ""Sofa 40"" универсальный",,,,мп6030,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,52613448-0076,Существенный,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы,2.10 | мебель - бой - дверцы","7 219,36"
"Мойка кухонная нерж. 60*80*13,5 эконом 0,4мм правая (15)",,,,мп6031,"Бой ОЗОН, Яндекс",7.7 | раковина - чаша - продавлена (нержавейка),Сантехпром ТОО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0143290678-0098,Существенный,1,7.7 | раковина - чаша - продавлена (нержавейка),"841,50"
600 Стол рабочий/разделочный (1 ящик) - Дуб Бунратти (60*84*43),,,,мп6032,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,08110795-0267,Существенный,1,,"3 535,88"
40 Подвесная тумба «Bricks 40» (ум. Como 40),,,,мп6061,"Бой ОЗОН, Яндекс",2.1 | мебель - бой - боковой стенки,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,48587066945,Существенный,1,"1.6 | многочисленные сколы,2.1 | мебель - бой - боковой стенки","1 421,68"
"40 Раковина встраив.: COMO 40 1 отв., белый, Сорт1(22)",,,,мп6060,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,48587066945,Существенный,1,7.1 | раковина - чаша - бой,"2 103,30"
"55 Умывальник ""Уют 550""",,,,мп6062,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,48903149313,Существенный,1,7.1 | раковина - чаша - бой,"1 850,28"
"105 Умывальник ""Дуглас 1050""",,,,мп6051,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,19800128-0494,Существенный,1,,"6 736,54"
"105 Тумба ""Sofa"" (ум. Дуглас 1050/ Виктория 1000)",,,,мп6050,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,19800128-0494,Существенный,1,,"8 887,85"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6047,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Смув,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,51422155-0085,Существенный,1,6.1 | унитаз - бачок - бой,"6 237,72"
"85 Тумба ""Giovanni 85"" (ум. Модерн 85)",,,,мп6049,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,ГЭОС,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0138127897-0760,Существенный,1,,"8 285,00"
"85 Умывальник ""Модерн 850""",,,,мп6048,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0138127897-0760,Существенный,1,,"5 309,42"
"70 Тумба ""Лотос 70"" 3 ящ. (ум. Эрика70)",,,,мп6058,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,60298548-0147,Существенный,1,,"3 900,00"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6056,"Бой ОЗОН, Яндекс",6.20 | унитаз - чаша - бой,Китай - Смув,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,14073975-0111,Существенный,1,6.20 | унитаз - чаша - бой,"6 597,32"
"60 Тумба ""Olsen 60 №2"" (ум. COMO 60 )",,,,мп6059,"Бой ОЗОН, Яндекс",2.5 | мебель - бой - планки,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,44531289-0008,Существенный,1,2.5 | мебель - бой - планки,"3 805,45"
"65 Зеркало ""Pirs 65"" угловое",,,,мп6054,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,18136387-0635,Существенный,1,5.1 | зеркало - разбито,"3 572,18"
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6052,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0188623315-0050,Существенный,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1 785,75"
"55 Умывальник ""Уют 550""",,,,мп6053,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0188623315-0050,Существенный,1,7.1 | раковина - чаша - бой,"1 850,28"
"60 Тумба ""Olsen 60 №2"" (ум. COMO 60 )",,,,мп6055,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,32859536-0294,Существенный,1,2.3 | мебель - бой - угла,"3 805,45"
"70 Тумба ""Paola 70"" (ум. Фостер 70, Como 70, Гремми 70)",,,,мп6070,"Бой ОЗОН, Яндекс",1.6 | многочисленные сколы,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0123058176-0534,Существенный,1,"1.6 | многочисленные сколы,2.5 | мебель - бой - планки","4 292,28"
"70 Раковина встраив.: COMO 70 1 отв., белый, Сорт1(18)",,,,мп6071,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0123058176-0534,Существенный,1,7.1 | раковина - чаша - бой,"3 528,30"
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6056,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0145583416-0106,Существенный,1,6.1 | унитаз - бачок - бой,"8 325,66"
"40 Пенал-шкаф ""Sofa 40"" универсальный",,,,мп6068,"Бой ОЗОН, Яндекс",2.2 | мебель - бой - задней стенки,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,0153896390-0039,Существенный,1,"2.2 | мебель - бой - задней стенки,2.10 | мебель - бой - дверцы","7 603,06"
"70 Тумба ""Paola 70"" (ум. Фостер 70, Como 70, Гремми 70)",,,,мп6074,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,37941433-0123,Существенный,1,"2.3 | мебель - бой - угла,2.4 | мебель - бой - дно","4 292,28"
"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6065,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,23696299-0303,Существенный,1,6.1 | унитаз - бачок - бой,"6 570,71"
"60 Тумба ""Olsen 60 №2"" (ум. COMO 60 )",,,,мп6073,"Бой ОЗОН, Яндекс",2.3 | мебель - бой - угла,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,70335596-0175,Существенный,1,2.3 | мебель - бой - угла,"3 805,45"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,мп6072,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000094 от 30.09.2025 11:34:03,Склад РВП ОСНОВНОЙ,,70335596-0175,Существенный,1,7.1 | раковина - чаша - бой,"2 730,30"
"60 Пенал-шкаф ""Catherine 60 №2"" белый камень",,,,д6301,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 528,37"
"40 Пенал-шкаф ""Sofa 40"" универсальный",,,,д6306,*Образцы из ОФИСА,собран,Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"7 205,52"
"105 Тумба ""Sofa"" (ум. Дуглас 1050/ Виктория 1000)",,,,д6305,*Образцы из ОФИСА,собран,Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"8 870,81"
"80 Тумба ""Catherine 80 №2""  (ум. Фостер 800П/800/COMO 80) белый камень",,,,д6298,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 731,57"
"80 Тумба ""Catherine 80""  (ум. Фостер 800П/800/COMO 80) серый камень",,,,д6304,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 746,98"
"70 Тумба ""Braunsy 70 №2"" кожа (ум.Миранда-70, COMO 70)",,,,д6308,*Образцы из ОФИСА,собран,Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 480,37"
"75 Тумба ""Michael 75"" №2 (ум. Дуглас 750), цвет мокка мусс",,,,д6303,*Образцы из ОФИСА,собран,ГЭОС,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 890,00"
"35 Пенал-шкаф ""OLIVER 35"", кора дуба",,,,д6310,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 319,36"
"40 Пенал-шкаф «Michael 40» №2 универсальный, цвет мокка мусс",,,,д6299,*Образцы из ОФИСА,собран,ГЭОС,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 990,00"
"45 Пенал-шкаф ""Braunsy 45"" (кожа)",,,,д6307,*Образцы из ОФИСА,собран,Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 990,77"
"60 Пенал-шкаф ""Catherine 60"" серый камень",,,,д6300,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"7 283,02"
"60 Тумба ""Chelsea 60"" (ум. Como 60)",,,,д6309,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 230,14"
"60 Тумба ""OLIVER 60"" (ум. Фостер 600), кора дуба",,,,д6302,*Образцы из ОФИСА,собран,Ротачев С.А.,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 620,35"
Зеркало Sofa 90 light круглое с LED подсветкой,,,,д6317,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 000,96"
Зеркало Topaz 60х95 light криволинейное с LED подсветкой (2 варианта навеса),,,,д6319,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"3 335,27"
Зеркало Liberty 80x80 light прямоугольное с LED подсветкой,,,,д6316,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"3 352,16"
Зеркало Maria Black 100х80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,д6318,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 073,65"
Зеркало Onyx 75х80 light криволинейное с LED подсветкой (2 варианта навеса),,,,д6322,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"3 568,42"
Зеркало Opal 50х80 овальное с LED подсветкой,,,,д6321,*Образцы из ОФИСА,"выставочные ,не товарный вид упаковки ",ДАБЛ-Ю ООО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 164,54"
Монолит T1068 безободковый (сиденье дюропласт с быстрым съемом),,,,д6572,*Образцы из ОФИСА,бой и не товарный вид упаковки,Китай - Виландор,Сотрудники,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"7 397,87"
"75 Умывальник ""Оскар 750""",,,,д6593,*Образцы из ОФИСА,не товарный вид упаковки ,Кировская керамика АО,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 344,07"
