,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Д7292,Акт о браке 000021793 от 02.12.2025 11:25:32,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 538,28",,Д7173,Акт о браке 000021687 от 25.11.2025 9:23:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,ЗАВОД ИНЖЕНЕРНОГО КАМНЯ ООО,2,"13 375,96",,,,,,
120 Раковина Лакшери правая V121D1 (с кронштейном и сифоном),,,,,,,1,"6 687,98",,Д7294,Акт о браке 000021655 от 24.11.2025 15:13:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
120 Раковина Лакшери правая V121D1 (с кронштейном и сифоном),,,,,,,1,"6 687,98",,Д7467,Акт о браке 000021841 от 03.12.2025 11:51:08,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,заводской брак,Китай - Смув,2,"13 072,4",,,,,,
"Унитаз-моноблок SM9612 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 632,09",,Д7558,Акт о браке 000021953 от 10.12.2025 15:01:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 440,31",,Д7406,Акт о браке 000021732 от 28.11.2025 13:32:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Чаотай,4,"13 029,16",,,,,,
"Westland FS02C-N Душевая стойка со смесителем нержавейка, хром EvaGold",,,,,,,1,"4 561,61",,Д6981,Акт о браке 000021401 от 05.11.2025 14:58:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"FS02C Душевая стойка со смесителем нержавейка, хром EvaGold",,,,,,,1,"4 225,06",,Д7405,Акт о браке 000021751 от 01.12.2025 13:32:18,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Vesta FB11GR-PVD Смеситель для ванны латунь, оружейная сталь EvaGold",,,,,,,1,"3 522,96",,Д7619,Акт о браке 000022026 от 18.12.2025 10:30:57,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"PSH02C Лейка для душа в наборе с держателем и ПВХ-шлангом, хром EvaGold",,,,,,,1,"719,53",,Д7516,Акт о браке 000022072 от 23.12.2025 12:50:08,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Санвей,2,"12 997,96",,,,,,
"EG2G Душевое ограждение прямоугольное EvaGold 120х80, профиль оружейная сталь, прозрачное стекло",,,,,,,1,"6 660,29",,Д7351,Акт о браке 000021714 от 26.11.2025 10:24:32,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"EG2B Душевое ограждение прямоугольное EvaGold 120х90, профиль черный матовый, прозрачное стекло",,,,,,,1,"6 337,67",,Д7350,Акт о браке 000021713 от 26.11.2025 10:22:09,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),ГЭОС,2,12 900,,,,,,
"85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,,,,1,6 450,,Д7288,Акт о браке 000021647 от 21.11.2025 13:34:55,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,,,,1,6 450,,Д7608,Акт о браке 000021977 от 15.12.2025 12:38:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,течь,Китай - Хангпай,3,"12 802,21",,,,,,
"A2802 Унитаз-компакт, безободковый, сиденье тонкое ДП,  удлин. патрубок, крепления, арматура, гориз. выпуск",,,,,,,1,"7 804,79",,Д7357,Акт о браке 000021711 от 26.11.2025 10:16:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2620 Унитаз, сиденье ДП, крепления (без бачка)",,,,,,,1,"3 377,82",,Д7315,Акт о браке 000021796 от 02.12.2025 11:28:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2620 Бачок для унитаза-компакта, арматура",,,,,,,1,"1 619,6",,Д07315,Акт о браке 000021796 от 02.12.2025 11:28:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,не товарный вид клиент,Китай - Санвей,1,"12 604,82",,,,,,
"ДК EvaGold полукруг F902WS (90*90, высок.под., рифл. стек., белая стен.,хром матовый проф. 3к)",,,,,,,1,"12 604,82",,Д7434,Акт о браке 000021866 от 03.12.2025 14:36:55,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Овчинникова Марина Николаевна ИП (FSC),1,12 503,,,,,,
"100 Тумба ""Bellucci 100"" (ум. Беверли - 100)",,,,,,,1,12 503,,Д5522,Акт о браке 000020072 от 06.08.2025 9:49:16,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,Ротачев С.А.,2,"11 862,56",,,,,,
"60 Пенал-шкаф ""Catherine 60 №2"" белый камень",,,,,,,1,"7 242,67",,Д7420,Акт о браке 000021782 от 02.12.2025 11:09:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"60 Тумба ""OLIVER 60"" (ум. Фостер 600), кора дуба",,,,,,,1,"4 619,89",,Д7436,Акт о браке 000021888 от 08.12.2025 9:12:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,течь,Китай - Джинсили,2,"11 733,79",,,,,,
"Унитаз-компакт EG309T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 874,33",,Д7612,Акт о браке 000022008 от 16.12.2025 14:18:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-компакт EG311T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 859,46",,Д7696,Акт о браке 000022064 от 22.12.2025 13:21:48,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (склад),Китай - Джинсили,2,"11 718,92",,,,,,
"Унитаз-компакт EG311T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 859,46",,Д7442,Акт о браке 000021894 от 08.12.2025 9:21:05,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-компакт EG311T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 859,46",,Д7443,Акт о браке 000021894 от 08.12.2025 9:21:05,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Росток-Мебель,4,"11 680,35",,,,,,
"80 Тумба ""Geneva 80"" (ум. Гремми 80, Фостер 80, Como 80)",,,,,,,1,"4 694,91",,МП6457,Акт о браке 000022016 от 17.12.2025 12:42:02,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"60 Тумба ""Paola 60"" (ум. Элеганс 60)",,,,,,,1,"2 923,92",,МП6469,Акт о браке 000022095 от 23.12.2025 15:35:27,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"60 Подвесная тумба ""Leader 60"" (ум. Фостер 60)",,,,,,,1,"2 639,31",,МП6472,Акт о браке 000022091 от 23.12.2025 14:47:50,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"70 Зеркало-шкаф ""Paola 70""",,,,,,,1,"1 422,21",,МП6421,Акт о браке 000021815 от 02.12.2025 12:37:30,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,Акт_тек клиента,взять на экспертизу,Китай - Чаотай,2,"11 585,79",,,,,,
"Vesta FS12GR-PVD Душевая стойка (150 см) со смесителем, латунь, оружейная сталь EvaGold",,,,,,,1,"6 123,24",,Д7515,Акт о браке 000021917 от 09.12.2025 10:01:32,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Monteverde FS02B-PVD Душевая стойка со смесителем нержавейка, черный EvaGold",,,,,,,1,"5 462,55",,Д7275,Акт о браке 000021589 от 19.11.2025 15:03:52,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),Ротачев С.А.,2,"10 925,99",,,,,,
"40 Пенал-шкаф ""НИКА-40"" универсальный",,,,,,,1,"6 306,1",,Д7364,Акт о браке 000021723 от 26.11.2025 15:59:14,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"60 Тумба ""OLIVER 60"" (ум. Фостер 600), кора дуба",,,,,,,1,"4 619,89",,Д7621,Акт о браке 000022029 от 18.12.2025 13:15:10,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",КЕРАМИК СОЛЮШНС РУС ООО,4,"10 540,94",,,,,,
"70 Раковина встраив.: ERICA ERI70 1 отв., белый,Сорт1(15)",,,,,,,1,"3 081,67",,МП6428,Акт о браке 000021855 от 03.12.2025 13:59:39,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"70 Раковина встраив.: ERICA ERI70 1 отв., белый,Сорт1(15)",,,,,,,1,"3 081,67",,МП6447,Акт о браке 000021931 от 09.12.2025 13:31:20,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"50 Раковина встраив.: COMO 50 1 отв., белый, Сорт1(24)",,,,,,,1,"2 274,3",,МП6431,Акт о браке 000021876 от 04.12.2025 11:28:02,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"40 Раковина встраив.: COMO 40 1 отв., белый, Сорт1(22)",,,,,,,1,"2 103,3",,МП6413,Акт о браке 000021742 от 01.12.2025 9:56:11,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,Претензия клиента,бой при хранении (клиент),Китай - Хангпай,3,"10 403,39",,,,,,
"A2809 Унитаз безободковый, сиденье тонкое ДП, удлин. патрубок, крепления (без бачка)",,,,,,,1,"5 810,07",,Д7352,Акт о браке 000021849 от 03.12.2025 13:30:43,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 296,66",,Д7353,Акт о браке 000021849 от 03.12.2025 13:30:43,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 296,66",,Д7354,Акт о браке 000021849 от 03.12.2025 13:30:43,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Китай - Джинсили,3,"10 187,92",,,,,,
"Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 345,57",,Д6947,Акт о браке 000021962 от 11.12.2025 14:20:17,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 345,57",,Д7450,Акт о браке 000021894 от 08.12.2025 9:21:05,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG309T, EG3010T, EG311T, EG312T, арматура",,,,,,,1,"1 496,78",,Д7607,Акт о браке 000022044 от 19.12.2025 11:48:30,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,ДАБЛ-Ю ООО,2,"10 077,84",,,,,,
Зеркало Maria Black 100х80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,,,,1,"5 038,92",,Д7446,Акт о браке 000021857 от 03.12.2025 14:07:43,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
Зеркало Maria Black 100х80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,,,,1,"5 038,92",,Д7655,Акт о браке 000022048 от 19.12.2025 11:53:17,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Тренд,2,"9 615,57",,,,,,
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"5 606,11",,Е803,Акт о браке 000021839 от 03.12.2025 11:25:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз подвесной EG133T с круговым смывом безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"4 009,46",,Е892,Акт о браке 000021940 от 09.12.2025 14:13:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,бой в целой коробке,Овчинникова Марина Николаевна ИП (FSC),3,"9 406,16",,,,,,
"65 Тумба ""Brooke 650"" (ум. Стиль 650)",,,,,,,1,"4 025,87",,Д7362,Акт о браке 000021848 от 03.12.2025 13:22:58,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"60 Зеркало-шкаф ""НИКА 60""  прав.",,,,,,,1,"2 692,64",,Д7402,Акт о браке 000021774 от 02.12.2025 10:44:47,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"60 Зеркало-шкаф ""НИКА 60""  прав.",,,,,,,1,"2 687,65",,Д7435,Акт о браке 000021888 от 08.12.2025 9:12:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК // восстановлен,заводской брак,ГЭОС,1,9 190,,,,,,
"100 Тумба ""Giovanni 100 ""T"" (ум. Модерн 105) с сифоном",,,,,,,1,9 190,,Д5507,Акт о браке 000019993 от 30.07.2025 15:12:02,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,возврат по договору,Китай - Виландор,1,"8 984,47",,,,,,
"Унитаз-моноблок T1028, сиденье ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 984,47",,Д4816,Акт о браке 000019376 от 18.06.2025 15:04:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,КЕРАМИК СОЛЮШНС РУС ООО,1,"8 953,6",,,,,,
"Компакт: COLOUR CLEAN ON 011 3/5 с кр. дюроп., lifting, easy-off, белый, Сорт 1 (9)",,,,,,,1,"8 953,6",,Д7392,Акт о браке 000021760 от 01.12.2025 14:38:15,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,не товарный вид клиент,ВЕРСАЛЬ ООО,1,"8 866,49",,,,,,
"Выставочный стенд для унитазов и инсталляций EvaGold 1500*1800*800, цвет цемент светлый",,,,,,,1,"8 866,49",,Д7356,Акт о браке 000021719 от 26.11.2025 13:56:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,САНТЕХТРЕЙД ООО,1,8 800,,,,,,
"Ванна ассиметр. ""Damelia"" 150х90*45,5 L",,,,,,,1,8 800,,Д7131,Акт о браке 000021670 от 25.11.2025 8:57:36,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,заводской брак,Китай - Виландор,3,"8 665,46",,,,,,
"T2334 Унитаз-компакт, безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 842,85",,Д7389,Акт о браке 000021754 от 01.12.2025 13:45:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
Сиденье ДП с доводчиком для унитаза T1020,,,,,,,1,"1 535,11",,Д7259,Акт о браке 000021583 от 19.11.2025 14:13:27,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Сиденье ДП с доводчиком для унитаза T1027, T1028, T1029",,,,,,,1,"1 287,5",,Д7320,Акт о браке 000021649 от 24.11.2025 13:19:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Кировская керамика АО,3,"8 457,42",,,,,,
"65 Умывальник ""Вилис"" 650",,,,,,,1,"3 954,93",,Д7053,Акт о браке 000021519 от 13.11.2025 9:03:05,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Стиль 650""",,,,,,,1,"2 298,5",,Д7286,Акт о браке 000021592 от 19.11.2025 15:37:08,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"65 Умывальник ""Элеганс 650""",,,,,,,1,"2 203,99",,Д7452,Акт о браке 000021859 от 03.12.2025 14:09:02,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,не обоснованная претензия,Китай - Чаотай,1,"8 283,55",,,,,,
"Tai FS01C-PVD Душевая стойка со смесителем латунь, хром EvaGold",,,,,,,1,"8 283,55",,Д7235,Акт о браке 000021577 от 19.11.2025 9:43:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
списание на удалении (ОПТ),,,,,,Китай - Хангпай,1,"7 822,32",,,,,,
"A2802 Унитаз-компакт, безободковый, сиденье тонкое ДП,  удлин. патрубок, крепления, арматура, гориз. выпуск",,,,,,,1,"7 822,32",,,,Склад РВП ОСНОВНОЙ,Списание недостач товаров НГУТ-000001 от 09.12.2025 16:26:26,"ЗРС, товар у конечного покупателя. Чухрий"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Китай - Джиохол,2,"7 783,21",,,,,,
"Унитаз-моноблок EG403 безободковый, сиденье тонкое ДП, арматура, СОРТ 2 без гофры и подводки",,,,,,,1,"6 176,42",,Д7695,Акт о браке 000022104 от 23.12.2025 15:57:57,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG306T, EG307T, арматура",,,,,,,1,"1 606,79",,Д7445,Акт о браке 000021860 от 03.12.2025 14:09:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Джинсили,2,"7 666,31",,,,,,
"Унитаз-компакт EG308T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"6 169,53",,Д7135,Акт о браке 000021961 от 11.12.2025 14:14:25,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG309T, EG3010T, EG311T, EG312T, арматура",,,,,,,1,"1 496,78",,Д7690,Акт о браке 000022105 от 23.12.2025 15:58:59,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Хангпай,4,"7 645,55",,,,,,
"A2807 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 649,77",,Е742,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2104 Бачок для унитаза-компакта, арматура",,,,,,,1,"1 665,26",,Е741,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2104 Бачок для унитаза-компакта, арматура",,,,,,,1,"1 665,26",,Е743,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2104 Бачок для унитаза-компакта, арматура",,,,,,,1,"1 665,26",,Е745,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,нарушены услов. эксплуат.,Овчинникова Марина Николаевна ИП (FSC),1,"7 613,29",,,,,,
"40 Пенал-шкаф ""Sofa 40"" универсальный",,,,,,,1,"7 613,29",,Д7330,Акт о браке 000021708 от 26.11.2025 9:28:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,МАДЕРА ООО,1,"7 573,77",,,,,,
100 Раковина Kamilla левая (с кронштейном),,,,,,,1,"7 573,77",,Д7318,Акт о браке 000021798 от 02.12.2025 11:32:18,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при хранении (клиент),Кировская керамика АО,3,"7 551,43",,,,,,
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 096,24",,Д7229,Акт о браке 000021573 от 18.11.2025 15:24:41,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Стиль 650""",,,,,,,1,"2 298,5",,Д7680,Акт о браке 000022057 от 19.12.2025 14:51:47,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
