,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 605,81",,Д7547,Акт о браке 000021943 от 09.12.2025 15:27:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9618T безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 504,63",,Д7461,Акт о браке 000021830 от 03.12.2025 9:40:54,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 441,31",,Д7605,Акт о браке 000021982 от 15.12.2025 13:53:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
НЕДОСТАЧА в приходе от поставщика + Компенсация,,,,,,Китай - Хангпай,12,"71 264,44",,,,,,
"Унитаз-моноблок SM9009A, сиденье тонкое ДП, арматура (на вывод)",,,,,,,12,"71 264,44",,,,Склад РВП Претензии поставщику,Списание недостач товаров ГФУТ-000135 от 30.12.2025 23:59:59,"зрс, китай гуангдон хангпай спецификация 5- недостача в приходе, компенсация  по кредит-ноте"
НЕДОСТАЧА в приходе от поставщика + Компенсация,,,,,,Китай - Смув,10,"64 001,89",,,,,,
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура",,,,,,,10,"64 001,89",,,,Склад РВП Претензии поставщику,Списание недостач товаров ГФУТ-000125 от 05.12.2025 15:59:34,компенсация по кредит ноте
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Сантехпром ТОО,9,"53 794,82",,,,,,
"Ванна стальная ""Ева"" 170*70 с ножками Казахстан (28)",,,,,,,1,6 828,,Д7141,Акт о браке 000021677 от 25.11.2025 9:12:21,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Ванна стальная ""Classic"" 170*75 с ножками Казахстан (28)",,,,,,,1,6 828,,Д7226,Акт о браке 000021613 от 20.11.2025 12:53:14,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Ванна стальная ""Ева"" 170*70 с ножками Казахстан (28)",,,,,,,1,6 828,,Д7298,Акт о браке 000021794 от 02.12.2025 11:26:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Ванна стальная ""Classic"" 170*75 с ножками Казахстан (28)",,,,,,,1,6 828,,Д7308,Акт о браке 000021652 от 24.11.2025 13:38:45,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Ванна стальная ""Classic"" 150*75 с ножками Казахстан (32)",,,,,,,1,"6 759,61",,Д7288,Акт о браке 000021803 от 02.12.2025 12:09:40,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
