№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
Акт о браке 000022217 от 12.01.2026 10:03:31,,,,,,,,,,,,,,,"1,0",6.1 | унитаз - бачок - бой,"6536,9"
"233,0","Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,мп6512,"Бой ОЗОН, Яндекс",6.1 | унитаз - бачок - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,45003994-0434,1,6.1 | унитаз - бачок - бой,"6536,9"
Акт о браке 000022218 от 12.01.2026 10:07:59,,,,,,,,,,,,,,,"2,0","7.1 | раковина - чаша - бой,2.3 | мебель - бой - угла,1.6 | многочисленные сколы","3637,4"
"234,0","55 Умывальник ""Уют 550""",,,,мп6514,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0143588330-0145,1,7.1 | раковина - чаша - бой,"1812,5"
"235,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6513,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0143588330-0145,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022219 от 12.01.2026 10:11:18,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"236,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6519,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,80704943-0704,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"237,0","55 Умывальник ""Уют 550""",,,,мп6518,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,80704943-0704,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022220 от 12.01.2026 10:12:35,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"238,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6516,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0140331980-0099,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022221 от 12.01.2026 10:57:37,,,,,,,,,,,,,,,"1,0","1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1824,9"
"239,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6517,"Бой ОЗОН, Яндекс","1.6 | многочисленные сколы,2.3 | мебель - бой - угла",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,43344543-0136,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1824,9"
Акт о браке 000022222 от 12.01.2026 10:59:23,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"6280,0"
"240,0","100 Зеркало-шкаф ""Viktoria 100""",,,,мп6521,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,ГЭОС,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,57623369-0182,1,5.1 | зеркало - разбито,"6280,0"
Акт о браке 000022223 от 12.01.2026 11:05:24,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"241,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6524,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0108750795-0541,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"242,0","55 Умывальник ""Уют 550""",,,,мп6523,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0108750795-0541,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022224 от 12.01.2026 11:07:05,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"2570,9"
"243,0","60 Зеркало-шкаф ""Olsen 60""",,,,к300,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,30484281-0062,1,5.1 | зеркало - разбито,"2570,9"
Акт о браке 000022225 от 12.01.2026 11:12:39,,,,,,,,,,,,,,,"1,0","1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1824,9"
"244,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6515,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0106016506-0518,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1824,9"
Акт о браке 000022226 от 12.01.2026 11:31:57,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"3689,1"
"245,0","60 Зеркало-шкаф ""Paola 60""",,,,мп6522,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,07738715-0248,1,5.1 | зеркало - разбито,"3689,1"
Акт о браке 000022227 от 12.01.2026 13:40:11,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"4049,7"
"246,0","60 Зеркало-шкаф ""Sevilla 60""",,,,мп6505,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,51932831-0201,1,5.1 | зеркало - разбито,"4049,7"
Акт о браке 000022228 от 12.01.2026 13:42:13,,,,,,,,,,,,,,,"2,0","7.1 | раковина - чаша - бой,2.3 | мебель - бой - угла,1.6 | многочисленные сколы","3637,4"
"247,0","55 Умывальник ""Уют 550""",,,,мп6503,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0122194770-0344,1,7.1 | раковина - чаша - бой,"1812,5"
"248,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6504,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0122194770-0344,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022229 от 12.01.2026 13:43:47,,,,,,,,,,,,,,,"1,0","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","1421,7"
"249,0",40 Подвесная тумба «Bricks 40» (ум. Como 40),,,,мп6506,"Бой ОЗОН, Яндекс","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0206927917-0015,1,"2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","1421,7"
Акт о браке 000022230 от 12.01.2026 13:45:33,,,,,,,,,,,,,,,"1,0","2.5 | мебель - бой - планки,2.1 | мебель - бой - боковой стенки","5942,0"
"250,0","70 Тумба ""Paradiz 70"" (Como 70, ум. Фостер 70) белое дерево",,,,мп6507,"Бой ОЗОН, Яндекс","2.5 | мебель - бой - планки,2.1 | мебель - бой - боковой стенки",Ротачев С.А.,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,13210034-0064,1,"2.5 | мебель - бой - планки,2.1 | мебель - бой - боковой стенки","5942,0"
Акт о браке 000022231 от 12.01.2026 14:12:18,,,,,,,,,,,,,,,"2,0","7.1 | раковина - чаша - бой,1.6 | многочисленные сколы,2.3 | мебель - бой - угла","3637,4"
"251,0","55 Умывальник ""Уют 550""",,,,мп6508,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,45833507-0874,1,7.1 | раковина - чаша - бой,"1812,5"
"252,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6509,"Бой ОЗОН, Яндекс","1.6 | многочисленные сколы,2.3 | мебель - бой - угла",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,45833507-0874,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","1824,9"
Акт о браке 000022232 от 12.01.2026 14:14:22,,,,,,,,,,,,,,,"2,0","7.1 | раковина - чаша - бой,2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","3519,7"
"253,0","45 Умывальник ""Уют 450""",,,,мп6511,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,42466080-0310,1,7.1 | раковина - чаша - бой,"1313,3"
"254,0","45 Тумба ""Mono 45"" (ум. Уют 45)",,,,мп6510,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки",Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,42466080-0310,1,"2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","2206,3"
Акт о браке 000022276 от 14.01.2026 14:41:52,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"255,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6544,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0199665726-0007,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"256,0","55 Умывальник ""Уют 550""",,,,мп6543,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0199665726-0007,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022277 от 14.01.2026 14:43:57,,,,,,,,,,,,,,,"1,0","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","2518,9"
"257,0",55 Тумба Коралл -2 (ум.Уют 55),,,,мп6534,"Бой ОЗОН, Яндекс","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,59056732-0141,1,"2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","2518,9"
Акт о браке 000022278 от 14.01.2026 14:45:28,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"258,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6539,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,46905160-0208,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022279 от 14.01.2026 14:46:42,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"259,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6541,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,67107693-0368,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022280 от 14.01.2026 14:49:13,,,,,,,,,,,,,,,"1,0",9.1 | сиденье - бой,"1569,7"
"260,0",Сиденье ДП с доводчиком для унитаза 5005BM черное,,,,мп6536,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,03912761-0831,1,9.1 | сиденье - бой,"1569,7"
Акт о браке 000022281 от 14.01.2026 14:51:16,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"261,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6527,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,17109549-0405,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"262,0","55 Умывальник ""Уют 550""",,,,мп6526,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,17109549-0405,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022282 от 14.01.2026 14:57:32,,,,,,,,,,,,,,,"2,0","1.6 | многочисленные сколы,2.3 | мебель - бой - угла,7.1 | раковина - чаша - бой","5458,6"
"263,0","60 Подвесная тумба ""Leader 60"" (ум. Фостер 60)",,,,мп6547,"Бой ОЗОН, Яндекс","1.6 | многочисленные сколы,2.3 | мебель - бой - угла",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,06161537-0293,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","2656,1"
"264,0","60 Умывальник ""Фостер 600""",,,,мп6548,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,06161537-0293,1,7.1 | раковина - чаша - бой,"2802,5"
Акт о браке 000022283 от 14.01.2026 14:59:14,,,,,,,,,,,,,,,"1,0","1.6 | многочисленные сколы,2.3 | мебель - бой - угла","4624,5"
"265,0","80 Тумба ""Geneva 80"" (ум. Гремми 80, Фостер 80, Como 80)",,,,мп6545,"Бой ОЗОН, Яндекс","1.6 | многочисленные сколы,2.3 | мебель - бой - угла",Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,47232454-1306,1,"1.6 | многочисленные сколы,2.3 | мебель - бой - угла","4624,5"
Акт о браке 000022284 от 14.01.2026 15:00:16,,,,,,,,,,,,,,,"1,0",7.1 | раковина - чаша - бой,"2103,3"
"266,0","40 Раковина встраив.: COMO 40 1 отв., белый, Сорт1(22)",,,,мп6542,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,77144660-0060,1,7.1 | раковина - чаша - бой,"2103,3"
Акт о браке 000022285 от 14.01.2026 15:01:55,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"267,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6531,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0130880205-0142,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"268,0","55 Умывальник ""Уют 550""",,,,мп6530,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,0130880205-0142,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022286 от 14.01.2026 15:03:45,,,,,,,,,,,,,,,"2,0","7.1 | раковина - чаша - бой,2.3 | мебель - бой - угла,1.6 | многочисленные сколы","3637,4"
"269,0","55 Умывальник ""Уют 550""",,,,мп6549,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,37279301-0674,1,7.1 | раковина - чаша - бой,"1812,5"
"270,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6550,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад для маркетплейсов,,37279301-0674,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022287 от 14.01.2026 15:04:56,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"6280,0"
"271,0","100 Зеркало-шкаф ""Viktoria 100""",,,,мп6540,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,ГЭОС,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,34881735-0154,1,5.1 | зеркало - разбито,"6280,0"
Акт о браке 000022288 от 14.01.2026 15:06:58,,,,,,,,,,,,,,,"1,0",9.1 | сиденье - бой,"849,7"
"272,0",Сиденье ДП с доводчиком для унитаза A2802 (подходит к SM9004A),,,,мп6538,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,19930377-0174,1,9.1 | сиденье - бой,"849,7"
Акт о браке 000022289 от 14.01.2026 15:08:35,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы,7.1 | раковина - чаша - бой","3637,4"
"273,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6529,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,31665383-0326,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"274,0","55 Умывальник ""Уют 550""",,,,мп6528,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,31665383-0326,1,7.1 | раковина - чаша - бой,"1812,5"
Акт о браке 000022290 от 14.01.2026 15:10:38,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"2072,9"
"275,0","50 Зеркало-шкаф ""Leader 50"" Белый",,,,мп6533,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,48436113-0160,1,5.1 | зеркало - разбито,"2072,9"
Акт о браке 000022291 от 14.01.2026 15:20:49,,,,,,,,,,,,,,,"1,0",9.1 | сиденье - бой,"991,0"
"276,0","Сиденье ДП с доводчиком для унитаза T1085 (подходит к T1084, T1081, T1011)",,,,мп6532,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Виландор,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,93966418-0111,1,9.1 | сиденье - бой,"991,0"
Акт о браке 000022292 от 14.01.2026 15:47:35,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
"277,0",55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,мп6546,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,1.6 | многочисленные сколы",Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,85602849-0182,1,"2.3 | мебель - бой - угла,1.6 | многочисленные сколы","1824,9"
Акт о браке 000022294 от 14.01.2026 16:04:44,,,,,,,,,,,,,,,"1,0",9.1 | сиденье - бой,"861,5"
"278,0","Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,мп6537,"Бой ОЗОН, Яндекс",9.1 | сиденье - бой,Китай - Хангпай,Клиент,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,72574224-0294,1,9.1 | сиденье - бой,"861,5"
Акт о браке 000022295 от 14.01.2026 16:07:22,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"2072,9"
"279,0","50 Зеркало-шкаф ""Leader 50"" Белый",,,,мп6535,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,32162557-0266,1,5.1 | зеркало - разбито,"2072,9"
Акт о браке 000022317 от 16.01.2026 11:36:55,,,,,,,,,,,,,,,"1,0","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","2656,1"
"280,0","60 Подвесная тумба ""Leader 60"" (ум. Фостер 60)",,,,мп6575,"Бой ОЗОН, Яндекс","2.5 | мебель - бой - планки,2.3 | мебель - бой - угла",Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,0155150137-0156,1,"2.5 | мебель - бой - планки,2.3 | мебель - бой - угла","2656,1"
Акт о браке 000022320 от 16.01.2026 15:48:09,,,,,,,,,,,,,,,"2,0","2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки,7.1 | раковина - чаша - бой","5458,6"
"281,0","60 Подвесная тумба ""Leader 60"" (ум. Фостер 60)",,,,мп6577,"Бой ОЗОН, Яндекс","2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки",Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,70832186-0377,1,"2.3 | мебель - бой - угла,2.1 | мебель - бой - боковой стенки","2656,1"
"282,0","60 Умывальник ""Фостер 600""",,,,мп6576,"Бой ОЗОН, Яндекс",7.1 | раковина - чаша - бой,Кировская керамика АО,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,70832186-0377,1,7.1 | раковина - чаша - бой,"2802,5"
Акт о браке 000022321 от 16.01.2026 15:49:49,,,,,,,,,,,,,,,"1,0",5.1 | зеркало - разбито,"4592,8"
"283,0","70 Зеркало-шкаф ""Fantasy 70"" белое дерево",,,,мп6581,"Бой ОЗОН, Яндекс",5.1 | зеркало - разбито,Росток-Мебель,Поставщик,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000003 от 26.01.2026 13:26:23,Склад РВП ОСНОВНОЙ,,44147324-1257,1,5.1 | зеркало - разбито,"4592,8"
Акт о браке 000022322 от 16.01.2026 15:51:15,,,,,,,,,,,,,,,"1,0","2.3 | мебель - бой - угла,1.6 | многочисленные сколы","2206,3"
