№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
"28,0","75 Тумба ""Vesta 75"" №2 (ум. Оскар 750, Quadro 75) графит Pur-клей",,,,д7858,заводской брак,отслоение пленки,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"6497,3"
Акт о браке 000022246 от 12.01.2026 16:13:53,,,,,,,,,,,,,,,"1,0",,"1656,7"
"29,0","A2801, A2801B Бачок для унитаза-компакта, арматура",,,,д7860,заводской брак,Брак литья бачка,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"1656,7"
Акт о браке 000022247 от 12.01.2026 16:17:41,,,,,,,,,,,,,,,"1,0",,"6292,4"
"30,0","Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7861,дефект мастера ОТК,Трещина,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6292,4"
Акт о браке 000022248 от 12.01.2026 16:21:07,,,,,,,,,,,,,,,"1,0",,"6347,8"
"31,0","70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д7862,заводской брак,"стес на углу ,царапины ,кромка во вот отклеится",Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"6347,8"
Акт о браке 000022250 от 12.01.2026 16:36:32,,,,,,,,,,,,,,,"1,0",,"5247,2"
"32,0","Унитаз подвесной K707T с круговым смывом безободковый, сиденье тонкое ДП, крепления",,,,д7837,заводской брак,трещина на входе подачи воды для слива,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"5247,2"
Акт о браке 000022251 от 12.01.2026 16:38:35,,,,,,,,,,,,,,,"1,0",,"5670,2"
"33,0","Унитаз-компакт EG306T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2334)",,,,д7838,течь,протекает с внуренней стороны смывной чаши ,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5670,2"
Акт о браке 000022256 от 13.01.2026 10:39:14,,,,,,,,,,,,,,,"1,0",,"1670,4"
"34,0","50 Умывальник ""Уют 500""",,,,д7811,бой при доставке,бой,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1670,4"
Акт о браке 000022257 от 13.01.2026 10:45:23,,,,,,,,,,,,,,,"1,0",,"2250,5"
"35,0",50 Тумба «НК -50» (ум. Уют 50),,,,д7822,бой при доставке,бой задней планки порвана коробка,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"2250,5"
Акт о браке 000022258 от 13.01.2026 10:46:02,,,,,,,,,,,,,,,"2,0",,"6533,6"
"36,0","60 Умывальник ""Фостер 600""",,,,д7828,заводской брак,металлизация,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"2802,5"
"37,0","65 Умывальник ""Вилис"" 650",,,,д7829,заводской брак,прыщ,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3731,1"
Акт о браке 000022259 от 13.01.2026 10:46:37,,,,,,,,,,,,,,,"1,0",,"6347,8"
"38,0","70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д7800,бой в целой коробке,"сколы , трещенны на фасаде",Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"6347,8"
Акт о браке 000022260 от 13.01.2026 11:15:00,,,,,,,,,,,,,,,"2,0",,"7417,9"
"39,0","60 Тумба ""OLIVER 60"" (ум. Фостер 600), кора дуба",,,,д7802,заводской брак,сколы,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4847,0"
"40,0","60 Зеркало-шкаф ""Olsen 60""",,,,д7801,бой в целой коробке,скол,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2570,9"
Акт о браке 000022261 от 13.01.2026 11:35:54,,,,,,,,,,,,,,,"1,0",,"4636,1"
"41,0","80 Подвесная тумба ""Liberty №2 80"" (Como 80; ум. Грэмми 80; Фостер 80) (белый)  Pur-клей",,,,д7895,заводской брак,отслоение пленки,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"4636,1"
Акт о браке 000022262 от 13.01.2026 12:48:03,,,,,,,,,,,,,,,"1,0",,"771,6"
"42,0","Душевая панель к ДК F101, F901. T901 средняя пластиковая 1845*250мм",,,,д7896,заводской брак,стойка в душевой кабинке лопнута при сборке региональным представителем,Китай - Санвей,Сотрудники,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"771,6"
