,,,,,,,,,,,,,,
Маркетплейс: отчет по отправленным товарам,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Параметры:,,Период: 01.11.2025 - 31.01.2026,,,,,,,,,,,,
Отбор:,,"Контрагент В группе из списка ""ИНТЕРНЕТ РЕШЕНИЯ ООО; FBS Яндекс Маркет ; РВБ ООО (Вайлдберриз) "" И
Склад В группе из списка ""Склад РВП ОСНОВНОЙ; Склад для маркетплейсов""",,,,,,,,,,,,
,,,,,,,,,,,,,,
Дата накладной,,,Номер отправления или идентификатор услуги,Номер реализации в 1С,Номер заказа,,Список артикулов,,Организация,Контрагент,Список товаров или название услуги,Склад,Количество,Сумма
02.11.2025 12:56:09,,,50404021954,ГФУТ-014847,ГФУТ-025235,,00-00002282,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"70 Тумба ""Лотос 70"" 3 ящ. (ум. Эрика70)",Склад РВП ОСНОВНОЙ,1,13 566
02.11.2025 12:56:09,,,50404021954,ГФУТ-014847,ГФУТ-025235,,Це009166   ,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"70 Раковина встраив.: ERICA ERI70 1 отв., белый,Сорт1(15)",Склад РВП ОСНОВНОЙ,1,9 044
02.11.2025 12:56:39,,,4106372539,ГФУТ-014848,ГФУТ-025242,,УТ-00001432,,ГРАНДФАЯНС ООО,РВБ ООО (Вайлдберриз) ,"45 Тумба ""Шимо 45"" (ум.Уют 45)",Склад РВП ОСНОВНОЙ,1,7 743
02.11.2025 14:06:26,,,0112021161-0124,ГФУТ-014849,ГФУТ-025243,,УТ-00007815,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"60 Подвесная тумба ""Leader 60"" (ум. Фостер 60)",Склад РВП ОСНОВНОЙ,1,11 900
02.11.2025 14:06:26,,,0112021161-0124,ГФУТ-014849,ГФУТ-025243,,00-00003364,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"60 Умывальник ""Фостер 600""",Склад РВП ОСНОВНОЙ,1,11 900
02.11.2025 14:06:29,,,08793619-0250,ГФУТ-014850,ГФУТ-025244,,УТ-00160109,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,65 Тумба «Natura 65» (ум. Элеганс 65)(в разборе),Склад РВП ОСНОВНОЙ,1,"8 909,4"
02.11.2025 14:06:29,,,08793619-0250,ГФУТ-014850,ГФУТ-025244,,00-00001986,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"65 Умывальник ""Элеганс 650""",Склад РВП ОСНОВНОЙ,1,"5 939,6"
02.11.2025 14:06:32,,,97278554-0135,ГФУТ-014851,ГФУТ-025245,,УТ-00004757,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"100 Умывальник ""Беверли-100"" ",Склад РВП ОСНОВНОЙ,1,"19 268,1"
02.11.2025 14:06:32,,,97278554-0135,ГФУТ-014851,ГФУТ-025245,,УТ-00006330,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"100 Тумба ""Bellucci 100"" (ум. Беверли - 100)",Склад РВП ОСНОВНОЙ,1,"44 958,9"
02.11.2025 14:06:33,,,43135925-0365,ГФУТ-014852,ГФУТ-025246,,УТ-00009531,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"80 Тумба ""Geneva 80"" (ум. Гремми 80, Фостер 80, Como 80)",Склад РВП ОСНОВНОЙ,1,16 522
